hanam, hanam, zinc, zinc
23.520454,-44.689148,46.462875,-12.175098
17.29694,-42.3817,30.298756,-32.718594
30.358463,-38.214333,52.83664,5.813801
56.49593,-22.544638,50.26246,-0.61118495
27.300648,-46.01807,47.761555,1.2002643
30.776161,-36.626625,45.27013,-10.755103
18.213898,-56.9151,48.52451,2.9889724
29.09982,-51.1209,46.44444,-12.07652
18.428001,-55.442207,31.497572,-36.869453
20.353767,-48.962063,27.06755,-35.075603
19.459171,-53.25444,49.107624,3.0216794
40.043015,-9.3846,33.27519,-31.793438
62.948044,-26.004263,25.210947,25.776205
70.11872,-27.701548,47.785015,1.1626539
60.92916,-25.550043,30.230833,-32.434837
21.478752,-45.143894,27.894194,-35.981724
20.500555,-45.9074,27.491728,-36.004765
60.79862,-27.644228,46.864296,1.9245754
19.893356,-47.818493,-52.80382,30.50343
59.290134,-25.52447,35.539318,-32.81913
59.31063,-25.611147,25.727774,26.013895
20.86983,-44.243546,42.627563,5.2783723
20.193867,-44.762592,26.187702,24.558596
69.36914,-28.391872,27.288792,-31.683924
19.622746,-44.245674,21.604048,-8.162142
61.35909,-28.549934,-53.99775,22.839066
18.829206,-44.22714,29.322975,33.1181
61.988075,-25.681932,47.45822,-6.338516
20.959757,-46.432755,47.145237,-6.2213745
21.726324,-45.784466,40.928543,15.6437645
62.01023,-27.54134,46.00215,-4.1525807
62.26207,-28.008377,47.40901,-5.251003
73.290276,-21.3829,20.61088,-8.008368
71.991356,-20.76315,21.32606,-8.04248
72.3278,-20.835958,28.299862,32.804325
19.559916,-50.235203,33.6379,35.972343
72.448326,-21.0262,44.18395,-9.918143
74.12301,-24.722443,30.170479,30.739134
74.61318,-24.62469,57.641872,-20.956924
75.04137,-24.363276,22.37976,26.95296
17.5675,-54.69814,23.383764,-36.31027
18.67517,-54.951996,20.35908,-9.693085
73.0973,-24.836502,48.683838,10.572751
17.392902,-57.713356,44.17619,4.060869
17.184624,-57.291634,29.159962,35.45867
82.73865,-10.674564,33.871662,35.629288
17.451935,-58.442554,32.027283,15.845905
61.515713,-26.549562,34.551453,11.925346
62.144108,-26.731895,42.39252,2.0193472
21.395178,-44.748104,42.48113,1.9431239
61.360226,-24.828403,31.909159,31.651674
61.745747,-26.277433,27.545052,30.538677
20.77172,-45.486343,47.836807,-5.2717834
72.7952,-21.987247,-51.220978,25.08923
61.191822,-26.293066,-55.30412,23.569744
70.96994,-21.1879,48.246986,10.3220625
61.27809,-27.527739,22.048986,26.923508
73.008125,-21.887783,-51.60958,25.16909
71.20017,-21.133696,28.127241,32.398743
74.34672,-25.296642,29.904438,28.889147
72.722916,-25.2198,28.937916,32.002857
17.767376,-55.107594,47.093163,-5.8706408
75.133934,-25.037354,25.326023,18.466284
74.64858,-25.583601,-3.8495555,-24.25316
23.231739,-43.13664,19.08853,-28.166021
76.914566,-25.22584,17.425697,-25.736647
60.07428,-24.643013,32.273277,35.453636
56.553047,-23.700739,47.976242,3.293181
67.05902,-28.380922,33.981167,9.215204
71.204414,-25.603659,26.588705,28.967733
67.39378,-26.959446,46.8682,3.3249412
67.40916,-25.789833,25.248482,30.828337
63.838326,-27.85399,-53.46806,29.74559
67.45502,-26.744879,32.07509,15.923538
68.27238,-26.332596,44.62748,-0.84148014
71.7123,-25.485025,-51.801487,25.367514
72.04461,-25.639627,22.070072,25.061466
17.069618,-55.405357,-55.020798,28.365696
53.962452,-23.915613,-54.68808,28.51727
56.80943,-25.714432,41.234886,10.744071
68.551636,-26.87249,40.402664,9.833067
17.342707,-46.846985,26.34231,28.633043
75.43867,-25.986008,-50.533768,25.004595
76.39506,-25.720396,-60.142075,19.002945
