hanam, hanam, zinc, zinc
-15.328854,3.4753928,-1.9603692,8.067181
-16.044611,9.301581,-1.4129277,8.0643835
-7.571591,3.558262,0.07017064,9.574533
3.9963229,-4.1934505,0.07400188,10.261493
-17.594265,-0.98674583,0.06155912,14.294726
-6.1680174,3.8631034,2.0348527,14.362701
-23.004923,-1.5399729,0.23687065,10.274423
-12.708369,-1.1566398,0.6656834,12.532571
-23.194845,0.4570302,-1.731716,8.949075
-18.70601,4.107703,-1.0704408,14.166373
-22.432455,2.22206,-2.8751993,12.222217
-2.3913217,10.981484,-0.52149093,12.839287
11.896112,-4.8263497,-0.9893638,15.489879
13.233476,-7.051432,-0.35432327,13.079714
8.842156,-4.4619827,-3.3146217,19.240463
-15.680803,4.7877607,-2.8886213,15.086118
-16.6274,5.3467274,-1.8685423,13.701047
11.006201,-6.096937,-1.4167714,15.222248
-18.095098,5.047508,-2.4944866,14.208953
7.541601,-3.9630604,-1.363347,15.287242
7.656348,-3.8824165,-0.7136272,16.352522
-15.464263,5.980954,-0.6924624,15.8216505
-16.167643,6.221236,2.712869,14.38915
12.778499,-6.7448487,1.685493,15.563292
-16.266876,6.8458004,-0.098629594,14.114504
11.803266,-6.31341,6.3486056,17.297783
-16.835934,7.4140105,4.4870596,20.423601
9.514646,-4.00036,-0.80653787,17.361973
-16.979618,4.780455,-0.046960153,17.903984
-16.219109,4.5849743,5.1930323,19.227943
10.679712,-5.1108317,4.383705,20.701836
10.867771,-4.855355,-0.28780627,22.511122
10.041782,-22.596994,-7.517452,18.05225
9.748113,-21.39055,1.6575658,16.278118
9.742231,-21.647758,1.5390275,16.643408
-19.698927,3.521715,-1.1566964,14.307913
9.334291,-21.81579,-7.5200877,18.055586
6.788903,-24.791826,2.9741406,22.153246
7.1900716,-25.268814,2.53778,22.453726
7.715558,-25.518497,4.0988317,15.534391
-22.432741,0.43363583,3.2594697,20.883743
-23.208973,0.94155777,5.7241564,20.248098
7.272216,-23.947315,3.0937324,17.543268
-24.211275,-1.6713941,2.2581553,17.302908
-24.04839,-1.3053554,2.2252858,23.51889
24.018135,-25.121584,6.057081,17.289062
-24.772057,-2.113847,0.007812978,18.36307
9.871015,-4.462481,3.781707,20.286577
10.265606,-4.1894717,-1.3092594,12.062033
-15.524825,5.331461,4.7045455,22.711885
8.70989,-5.1471095,-19.341454,5.5971727
9.8131075,-4.854298,-3.9100895,21.888638
-16.310781,5.4382753,-1.0913708,22.132027
9.749908,-22.640696,3.276717,15.887836
9.557853,-4.4776382,-0.15539882,21.82986
9.684452,-20.489979,-1.6008757,11.857882
10.8019,-5.886359,1.9584768,16.719952
9.829382,-22.71527,3.424331,16.146753
9.715242,-20.683237,-4.396549,23.33621
7.133357,-25.038548,-1.1237001,21.51425
7.1527586,-23.678362,-1.2314229,18.325932
-22.541056,0.105773784,1.1929942,22.743067
6.617481,-25.465305,-3.3301725,20.606884
7.628539,-25.28583,3.1695104,19.347195
-13.875584,4.4605966,3.8459318,23.60383
6.3265295,-27.215174,4.251987,17.765966
7.7428308,-5.0485196,0.13365166,23.683352
4.8964715,-3.4161322,-1.3106087,23.081636
13.906113,-2.4527223,0.86991924,22.779545
7.2417464,-22.498703,-3.2340136,20.509289
13.896877,-3.7018147,4.221227,15.525972
14.315141,-4.731908,-0.90694046,22.854813
11.493623,-3.3126292,1.9038719,18.299608
13.998723,-3.9259944,4.50686,15.338709
14.889949,-3.2455132,2.0068743,22.661524
7.167094,-22.873043,1.8280334,20.479053
6.9034543,-23.040758,-0.538415,20.453823
-23.003132,-0.3486741,2.368759,19.960155
3.223836,-1.876041,2.4346106,19.483976
6.159026,-2.205781,-0.45873377,18.633478
14.854079,-2.80958,-1.893973,22.527098
-18.647585,6.241721,-0.088881195,19.02529
7.689489,-26.307478,1.9254079,21.65839
6.0530543,-26.540771,-2.3590176,24.066647
6.3708324,-26.67563,4.2313166,16.384607
2.6368206,-2.0842676,-1.7888758,21.968319
2.3512928,-2.0046625,-1.9742965,16.061657
5.3300614,-3.4996352,-0.7029947,24.436499
6.3282332,-2.4925587,-2.9221683,22.049782
8.307786,-5.7813616,-1.3530585,23.261831
13.981544,-3.2475636,1.2987777,23.126274
11.724287,-2.9802566,4.7696295,22.764389
12.2310295,-1.6668575,-0.10010483,23.293856
12.073296,-2.43632,-3.2340255,23.816895
12.60541,-1.4209964,3.2692776,18.565666
14.683997,-3.8772528,-1.2024114,20.178976
12.523756,-2.7830396,1.3736532,21.448494
-23.428934,-0.09198293,-2.2654083,24.742802
5.9265304,-26.879671,-1.2608056,24.479229
2.5778549,-2.1006024,-2.905512,23.962599
