hanam, hanam, zinc, zinc
-8.50976,35.81659,-17.195131,-25.806374
-2.3888476,32.410583,-21.35572,-22.069868
-16.184591,27.430567,-20.4919,16.718664
-37.739277,16.006405,-17.497772,15.8917675
-12.957642,35.565662,-19.251137,15.965508
-16.578997,25.85088,26.189247,-35.476223
-3.2709868,47.550434,-14.20436,21.777273
-14.262229,41.272064,-13.888095,21.433014
-3.4154527,46.02735,-13.82257,23.795225
-5.319706,39.610615,-15.95639,23.484282
-4.477264,43.83107,-18.498045,13.424751
-10.3387785,26.672003,-18.261593,15.093542
-46.139317,20.345224,-18.492727,13.17721
-49.42176,19.515789,-13.710668,23.21921
-42.435295,19.569471,-15.164013,22.594955
-6.4933963,36.1083,-18.199856,12.399608
-5.416884,36.815926,-19.567802,-2.6949458
-44.504913,18.71346,30.413029,-36.06794
-4.6881495,38.500847,-11.975406,-5.5586424
-40.89586,19.35221,-17.089405,-25.84976
-40.94826,19.486897,-11.938443,-7.906966
-5.8171577,35.102516,-18.514463,-3.7094254
-5.1063147,35.568024,-22.018179,-10.990173
-48.309223,19.428556,-10.83848,27.38272
-4.476934,34.9958,-9.676275,-4.092071
-45.7632,18.955772,-20.102036,-23.593634
-3.5989692,34.872932,-19.28223,-23.483145
-42.919205,20.730476,-15.456492,-23.316616
-5.899389,37.401306,-23.345655,-10.807101
-6.7075925,36.79985,-21.404434,-11.226035
-45.538185,19.127998,-18.865229,-1.9561698
-44.861256,20.150608,-15.872586,9.020115
-55.03207,16.789186,-20.266344,-22.470675
-53.773434,15.899599,-12.181,8.857225
-54.139214,16.013746,-12.023388,17.692667
-4.482079,40.85595,-12.201113,18.516262
-54.20054,16.321655,-12.333752,18.219881
-55.362244,20.384428,-7.3342595,18.216024
-55.929737,20.36558,-12.115462,7.874445
-56.403355,20.115213,-13.380816,4.765456
-2.4581196,45.210167,-23.998802,-11.171057
-3.7246258,45.48539,-20.418251,-22.720366
-54.31673,20.4046,-20.429028,-0.96787024
-2.3581133,48.363544,26.786793,-31.691402
-2.060091,47.91543,-13.134298,9.526687
-65.724335,7.9222894,25.7125,-37.342026
-2.3816714,49.138443,-14.958782,-22.245497
-43.64194,20.038195,26.71033,-38.153187
-43.93367,20.547367,-20.091215,-1.6753279
-6.368205,35.648808,-13.579153,8.662347
-42.471085,18.869339,-16.42747,-22.69568
-43.543056,19.505503,-13.211108,17.543306
-5.7688274,36.396954,41.957047,-18.028717
-54.367947,17.358278,-12.655469,20.607862
-43.162582,20.078035,-28.856646,6.2329
-52.646725,16.240446,-28.854904,6.2334843
-44.547527,19.29314,-21.346855,-20.184168
-54.629467,17.29601,26.282118,-35.40243
-52.90065,16.231676,-23.309614,-9.726038
-55.49711,21.039124,-14.5112,13.018585
-53.884167,20.754387,-8.154436,1.2209536
-2.7181108,45.679596,-13.459399,9.083736
-56.36962,20.912008,-13.612159,10.786984
-55.775154,21.388948,-7.2694592,32.750652
-8.211961,34.34531,-12.073273,19.23654
-58.13964,21.377544,-7.2675433,18.214087
-41.517277,18.21927,-13.387276,20.176708
-38.0779,17.648088,-13.359705,9.61619
-47.710926,23.401329,10.033909,-19.43009
-52.199474,20.822433,-14.1600685,-26.58851
-48.14608,22.112785,-16.044434,-5.014432
-48.53533,21.233475,-11.101715,-23.044333
-45.023598,21.894857,-16.240402,-5.4538174
-48.639114,22.079393,-9.596951,-5.7390666
-49.5848,22.063698,-11.786424,-8.78668
-52.792877,20.673824,-20.290031,-4.554782
-53.078907,21.061512,-6.928364,-36.415836
-1.9272621,45.90638,-13.506059,-25.010296
-35.35122,18.021843,-13.200756,-6.2699437
-38.31792,19.63468,-15.594107,-4.2333255
-49.668163,22.683176,-22.035284,-6.777212
-2.5322893,38.046146,-15.291614,-3.0837867
-56.417744,22.010292,-15.490576,-1.1381747
-57.462257,22.202557,-17.635777,-23.921288
-57.525238,21.714615,-10.925331,17.882769
-34.979744,17.41425,3.0677307,15.946317
-34.561214,17.224548,-7.9842105,6.4522123
-38.61183,17.938374,-13.945028,-5.6535482
-38.5999,19.624176,24.180853,-32.905247
-42.42286,17.868113,-8.954922,-11.734733
-48.102154,22.636879,-8.7132225,6.5118337
-45.445515,22.21225,-16.292915,-6.3297267
-45.92743,23.880737,30.60717,-32.303215
-45.812714,22.921112,25.059275,-28.039146
-46.06134,24.46171,23.668354,-32.469154
-48.981586,23.187513,-13.695879,-24.717598
-44.055588,23.46592,-11.84669,-6.951176
-2.2267919,46.355953,-4.6619196,-5.5780797
-58.02151,22.148827,-12.33552,-5.096126
-34.946804,17.353283,-10.440108,-5.275195
-48.491196,22.612286,-13.714389,6.781598
-44.441963,22.854656,-10.155498,0.9433086
-44.142467,22.43681,-18.883343,-2.160656
-44.65646,22.208342,-13.044266,-7.0529757
-45.112637,22.751217,-23.315212,-3.0898817
-46.148182,22.303476,-5.374874,-38.444275
-45.36765,23.800846,-15.207732,-26.695677
-53.51172,19.558924,-15.543952,-26.726238
-2.8163958,44.205254,-20.557858,-19.633236
-57.398952,21.096392,-17.422789,-16.388306
-59.206326,20.782064,4.188691,0.18204337
-59.1517,21.647465,-10.622996,9.448497
-59.034603,21.221323,-6.5397468,-12.67389
-2.22103,47.2087,-21.99983,-8.300833
-57.86125,20.593409,30.14427,-30.226345
-45.31436,11.377011,5.8846183,13.021965
-56.799732,5.292192,5.5886474,12.902443
-54.73775,5.8114886,-10.059184,0.045835435
-54.82726,6.3750024,-6.0966077,-5.8259068
